ModifierID,OptionKey,Value,Priority,IsMulti,ModifeirTrigger,DescKey,KeyOder
Action_Healing,Potion_CureOption,10,50,FALSE,OnUse,string_Cure,0
Action_RemoveDebuff,Potion_CureOption,5,50,FALSE,OnUse,string_Cure,1
Action_Healing,Potion_HealingOption,20,50,FALSE,OnUse,string_Healing,0
Action_MpHeaing,Potion_MpHealing,10,50,FALSE,OnUse,string_MpPotion,0
Action_RandomPotion,Potion_Ranodm,0,50,FALSE,OnUse,string_RandomPotion,0
Action_Mutate,Potion_Mutate,1,50,FALSE,OnUse,string_Mutate,0
Action_ExtraLife,Potion_PhoenixTear,1,50,FALSE,OnUse,string_ExtraLife,0
Action_AddStat_Str,Potion_ElixirOfApex,2,50,FALSE,OnUse,string_Apex,0
Action_AddStat_Dex,Potion_ElixirOfApex,2,50,FALSE,OnUse,string_Apex,1
Action_AddStat_Int,Potion_ElixirOfApex,2,50,FALSE,OnUse,string_Apex,2
Action_Identify,Scroll_Identify,1,50,FALSE,OnUse,string_Identify,0
Action_CurseItem,Scroll_Curse,1,50,FALSE,OnUse,string_Curse,0
Action_Purification,Scroll_Purification,10,50,FALSE,OnUse,string_Purification,0
Action_LongScroll,Scroll_Long,3,50,FALSE,OnUse,string_LongScroll,0
Action_TelleVision,Scroll_TelleVision,10,50,FALSE,OnUse,string_TelleVision,0
Action_ArmorDef,Scroll_ArmorReinforce,1,50,FALSE,OnUse,string_ArmorReinforce,0
Action_ArmorEv,Scroll_ArmorReinforce,1,50,FALSE,OnUse,string_ArmorReinforce,1
Action_WeaponDamage,Scroll_WeaponReinforce,1,50,FALSE,OnUse,string_WeaponReinforce,0
Action_WeaponAccurcy,Scroll_WeaponReinforce,1,50,FALSE,OnUse,string_WeaponReinforce,1
Action_Nagging,Scroll_Nagging,3,50,FALSE,OnUse,string_Nagging,0
Action_BlinkBuff,Scroll_Blink,5,50,FALSE,OnTurnEnd,string_BlinkScroll,0
Action_TelleportBuff,Scroll_Telleport,30,50,FALSE,OnTurnEnd,string_TelleportScroll,0
Action_AoeEllementalDamage,Scroll_Infernal,0.5,50,TRUE,OnUse,string_Infernal,0
Action_XrayBuff,Scroll_Xray,10,50,FALSE,OnUse,string_Xray,0
Action_Area_SleepBuff,Scroll_Sleep,5,50,FALSE,OnUse,string_Sleep,0
Action_Area_SilenceBuff,Scroll_Silence,5,50,FALSE,OnUse,string_Silence,0
Action_Wish,Scroll_Wish,1,50,FALSE,OnUse,string_Wish,0
Action_Area_GorgonBuff,Scroll_Gorgon,5,50,FALSE,OnUse,string_Gorgon,0
Action_AreaRemoveWall,Scroll_Void,3,50,FALSE,OnUse,string_Void,0
Action_ExtractOption,Scroll_Essence,5,50,FALSE,OnUse,string_Extraction,0
AddOption_ElementalDamage_Fire,AddOption_ElementalDamage_Fire,0.3,50,TRUE,AfterAttack,string_Mod_ElementalDamage,0
AddOption_ElementalDamage_Ice,AddOption_ElementalDamage_Ice,0.3,50,TRUE,AfterAttack,string_Mod_ElementalDamage,0
AddOption_ElementalDamage_Thunder,AddOption_ElementalDamage_Thunder,0.3,50,TRUE,AfterAttack,string_Mod_ElementalDamage,0
